2018-3-11 21:23:54:_tb_token_|7ede37b71eea7
2018-3-11 21:23:54:userInnerShopSiteId|4
2018-3-11 21:23:54:userOuterShopSiteId|
2018-3-11 21:23:54:wirelessmpChoosed|
2018-3-11 21:23:54:isSellingLightningConsignment|
2018-3-11 21:23:54:lightningConsignment2|
2018-3-11 21:23:54:spuStoreId|
2018-3-11 21:23:54:_fma.pu._0.ta|false
2018-3-11 21:23:54:newProductTagId|0
2018-3-11 21:23:54:isFirst|
2018-3-11 21:23:54:tfsname|
2018-3-11 21:23:54:_fma.pu._0.rel|
2018-3-11 21:23:54:isLocalityLifeEtcItem|
2018-3-11 21:23:54:isCustoemdSkuForbidDpcAuction|false
2018-3-11 21:23:54:customCatId|
2018-3-11 21:23:54:customCatName|
2018-3-11 21:23:54:distributionPageString|
2018-3-11 21:23:54:isReselectCat|
2018-3-11 21:23:54:isNeedCheckPictureCat|true
2018-3-11 21:23:54:paymentSeting|
2018-3-11 21:23:54:forceUpdateWhenFakeCredit|
2018-3-11 21:23:54:wapDescEnable|
2018-3-11 21:23:54:_fma.pu._0.b|10
2018-3-11 21:23:54:_fma.pu._0.stu|5
2018-3-11 21:23:54:auctionTypeInfoPrint|editaVlue=false;canPublishNew=true;isOnlySecond=false;isRestAuction=;isBookStartLimit=false;isAcousticsLimit=false;isPrepayLimitCatAndSeller=false;is3GCatCanNewForSeller=;canPublishAlcoholNew=;noAgreement=;noPrepay=;shopSeller=true;isSellerShopeEnable=true;isShopRelease=;
2018-3-11 21:23:54:_fma.pu._0.auctio|173765856
2018-3-11 21:23:54:cp_44134721|44134721:-1
2018-3-11 21:23:54:cpi_44134721|Œﬁ
2018-3-11 21:23:54:cp_20000|20000:29534
2018-3-11 21:23:54:cp_20017|20017:27853279
2018-3-11 21:23:54:cpva_20017:27853279|3ÀÍ
2018-3-11 21:23:54:cp_20017|20017:22046351
2018-3-11 21:23:54:cpva_20017:22046351|4ÀÍ
2018-3-11 21:23:54:cp_20017|20017:53269715
2018-3-11 21:23:54:cpva_20017:53269715|5ÀÍ
2018-3-11 21:23:54:_fma.pu._0.ti|[±ÍÃ‚]
2018-3-11 21:23:54:_fma.pu._0.pay|
2018-3-11 21:23:54:_fma.pu._0.payv|1
2018-3-11 21:23:54:cp_1627207|1627207:1929196833
2018-3-11 21:23:54:cp_intput_cpv_1627207_1929196833|≤–∂£®¬Ã…´£©
2018-3-11 21:23:54:cp_1627207|1627207:1908402761
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402761|≤–∂£®∑€…´£©
2018-3-11 21:23:54:cp_1627207|1627207:600517166
2018-3-11 21:23:54:cp_intput_cpv_1627207_600517166|≤–∂£®¿∂…´£©
2018-3-11 21:23:54:cp_1627207|1627207:600517176
2018-3-11 21:23:54:cp_intput_cpv_1627207_600517176|≤–∂£®ø·∫⁄£©
2018-3-11 21:23:54:cp_1627207|1627207:703297975
2018-3-11 21:23:54:cp_intput_cpv_1627207_703297975|≤–∂£®Õø—ª£©
2018-3-11 21:23:54:cp_1627207|1627207:1908402756
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402756|≤–∂£®Ω÷ŒË£©
2018-3-11 21:23:54:cp_1627207|1627207:703297976
2018-3-11 21:23:54:cp_intput_cpv_1627207_703297976|’€µ˛£®Õø—ª£©
2018-3-11 21:23:54:cp_1627207|1627207:1908402766
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402766|’€µ˛£®Ω÷ŒË£©
2018-3-11 21:23:54:cp_1627207|1627207:732471086
2018-3-11 21:23:54:cp_intput_cpv_1627207_732471086|’€µ˛£®æ´¡È£©
2018-3-11 21:23:54:cp_1627207|1627207:1908402763
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402763|≤–∂£®∑€…´£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:600517172
2018-3-11 21:23:54:cp_intput_cpv_1627207_600517172|≤–∂£®ø·∫⁄£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:600517173
2018-3-11 21:23:54:cp_intput_cpv_1627207_600517173|≤–∂£®¿∂…´£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1908402752
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402752|≤–∂£®Ω÷ŒË£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1908402764
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402764|≤–∂£®»Ã’ﬂ£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1916472733
2018-3-11 21:23:54:cp_intput_cpv_1627207_1916472733|≤–∂£®∆Êª√£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1908402760
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402760|≤–∂£®“ÏœÎ£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:600517174
2018-3-11 21:23:54:cp_intput_cpv_1627207_600517174|’€µ˛£®ø·∫⁄£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1908402765
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402765|’€µ˛£®∑€…´£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1916472734
2018-3-11 21:23:54:cp_intput_cpv_1627207_1916472734|’€µ˛£®∆Êª√£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1908402755
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402755|’€µ˛£®“ÏœÎ£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1908402762
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402762|’€µ˛£®Ω÷ŒË£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cp_1627207|1627207:1908402757
2018-3-11 21:23:54:cp_intput_cpv_1627207_1908402757|’€µ˛£®»Ã’ﬂ£©+“Ù¿÷µ∆π‚
2018-3-11 21:23:54:cpvf_old_1627207:1929196833|http://gd2.alicdn.com/imgextra/i3/2843866294/TB2OkV0lTTI8KJjSsphXXcFppXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402761|http://img4.tbcdn.cn/imgextra/i2/2843866294/TB2B3znXjgy_uJjSZJnXXbuOXXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:600517166|http://img4.tbcdn.cn/imgextra/i3/2843866294/TB25ngSaIbI8KJjy1zdXXbe1VXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:600517176|http://gd4.alicdn.com/imgextra/i3/2843866294/TB29BgWaMvD8KJjy0FlXXagBFXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:703297975|http://img4.tbcdn.cn/imgextra/i2/2843866294/TB27qDunIrI8KJjy0FhXXbfnpXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402756|http://gd2.alicdn.com/imgextra/i4/2843866294/TB2rHHSbtLO8KJjSZFxXXaGEVXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:703297976|http://gd2.alicdn.com/imgextra/i4/2843866294/TB2aWPunIrI8KJjy0FhXXbfnpXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402766|http://gd3.alicdn.com/imgextra/i2/2843866294/TB2yNnFe22H8KJjy0FcXXaDlFXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:732471086|http://gd4.alicdn.com/imgextra/i4/2843866294/TB2GdHsXTlYBeNjSszcXXbwhFXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402763|http://img4.tbcdn.cn/imgextra/i2/2843866294/TB2wOP0e4PI8KJjSspfXXcCFXXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:600517172|http://gd4.alicdn.com/imgextra/i1/2843866294/TB2uOnqe8fH8KJjy1XbXXbLdXXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:600517173|http://gd2.alicdn.com/imgextra/i1/2843866294/TB2ID46d63z9KJjy0FmXXXiwXXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402752|http://img4.tbcdn.cn/imgextra/i4/2843866294/TB2DE61e6nD8KJjSspbXXbbEXXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402764|http://img4.tbcdn.cn/imgextra/i4/2843866294/TB254uff46I8KJjSszfXXaZVXXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1916472733|http://gd4.alicdn.com/imgextra/i2/2843866294/TB2GhaKf2DH8KJjy1XcXXcpdXXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402760|http://gd4.alicdn.com/imgextra/i2/2843866294/TB2XkmrfZnI8KJjSspeXXcwIpXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:600517174|http://gd3.alicdn.com/imgextra/i1/2843866294/TB2nZnAe_nI8KJjSszbXXb4KFXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402765|http://img4.tbcdn.cn/imgextra/i4/2843866294/TB2Fqr6e_nI8KJjy0FfXXcdoVXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1916472734|http://gd3.alicdn.com/imgextra/i1/2843866294/TB29U0Zb4k98KJjSZFoXXXS6pXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402755|http://img4.tbcdn.cn/imgextra/i4/2843866294/TB2mSauf8TH8KJjy0FiXXcRsXXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402762|http://gd2.alicdn.com/imgextra/i4/2843866294/TB27pDgaQfb_uJjSsD4XXaqiFXa_!!2843866294.jpg
2018-3-11 21:23:54:cpvf_old_1627207:1908402757|http://gd4.alicdn.com/imgextra/i1/2843866294/TB2OPGCfZbI8KJjy1zdXXbe1VXa_!!2843866294.jpg
2018-3-11 21:23:54:J_SKUTableData|{"1627207-1929196833":{"price":"79","quantity":"1089"},"1627207-1908402761":{"price":"79","quantity":"764"},"1627207-600517166":{"price":"79","quantity":"909"},"1627207-600517176":{"price":"79","quantity":"1132"},"1627207-703297975":{"price":"89","quantity":"1867"},"1627207-1908402756":{"price":"89","quantity":"1057"},"1627207-703297976":{"price":"109","quantity":"1950"},"1627207-1908402766":{"price":"109","quantity":"905"},"1627207-732471086":{"price":"119","quantity":"2157"},"1627207-1908402763":{"price":"89","quantity":"1086"},"1627207-600517172":{"price":"89","quantity":"1287"},"1627207-600517173":{"price":"89","quantity":"769"},"1627207-1908402752":{"price":"99","quantity":"749"},"1627207-1908402764":{"price":"99","quantity":"1600"},"1627207-1916472733":{"price":"99","quantity":"638"},"1627207-1908402760":{"price":"99","quantity":"1843"},"1627207-600517174":{"price":"109","quantity":"695"},"1627207-1908402757":{"price":"119","quantity":"908"},"1627207-1908402762":{"price":"119","quantity":"1297"},"1627207-1908402755":{"price":"119","quantity":"928"},"1627207-1916472734":{"price":"119","quantity":"1179"},"1627207-1908402765":{"price":"109","quantity":"1189"}}
2018-3-11 21:23:54:_fma.pu._0.m|79
2018-3-11 21:23:54:_fma.pu._0.q|25998
2018-3-11 21:23:54:is_global_stock|false
2018-3-11 21:23:54:_fma.pu._0.ou|[…Ãº“±‡¬Î]
2018-3-11 21:23:54:image_pos|1
2018-3-11 21:23:54:picUrl1|[÷˜Õº1]
2018-3-11 21:23:54:image_pos|2
2018-3-11 21:23:54:picUrl2|[÷˜Õº2]
2018-3-11 21:23:54:image_pos|3
2018-3-11 21:23:54:picUrl3|[÷˜Õº3]
2018-3-11 21:23:54:image_pos|4
2018-3-11 21:23:54:picUrl4|[÷˜Õº4]
2018-3-11 21:23:54:_fma.pu._0.d|[œÍ«È“≥]
2018-3-11 21:23:54:_fma.pu._0.wi|
2018-3-11 21:23:54:_fma.pu._0.de|2
2018-3-11 21:23:54:_fma.pu._0.po|11416809090
2018-3-11 21:23:54:_fma.pu._0.ha|0
2018-3-11 21:23:54:_fma.pu._0.hav|0
2018-3-11 21:23:54:new_prepay_tag|0
2018-3-11 21:23:54:_fma.pu._0.su|1
2018-3-11 21:23:54:_fma.pu._0.du|7
2018-3-11 21:23:54:_fma.pu._0.auct|0
2018-3-11 21:23:54:_now|0
2018-3-11 21:23:54:event_submit_do_publish|anything
2018-3-11 21:23:54:stamp|1520774634814
2018-3-11 21:23:54:type|submit
2018-3-11 21:23:54:submitType|ajax
